

  0% 1/154173 [00:04<188:31:14,  4.40s/it]




  0% 5/154173 [00:13<104:48:47,  2.45s/it]





  0% 10/154173 [00:24<98:00:15,  2.29s/it]





  0% 15/154173 [00:36<97:00:49,  2.27s/it]





  1% 1784/154173 [1:08:08<95:47:22,  2.26s/it]





  1% 1789/154173 [1:08:19<95:49:24,  2.26s/it]






  1% 1795/154173 [1:08:33<95:41:58,  2.26s/it]




  1% 1799/154173 [1:08:42<95:41:36,  2.26s/it]





  1% 1804/154173 [1:08:53<96:11:24,  2.27s/it]





  1% 1809/154173 [1:09:49<376:38:50,  8.90s/it]





  1% 1814/154173 [1:10:01<143:02:24,  3.38s/it]





  1% 1819/154173 [1:10:12<103:39:53,  2.45s/it]





  1% 1824/154173 [1:10:23<97:06:18,  2.29s/it]





  1% 1829/154173 [1:10:35<96:16:00,  2.27s/it]





  1% 1834/154173 [1:10:46<95:47:06,  2.26s/it]





  1% 1839/154173 [1:10:57<95:40:19,  2.26s/it]






  1% 1845/154173 [1:11:11<95:41:33,  2.26s/it]




  1% 1849/154173 [1:11:20<95:43:01,  2.26s/it]





  1% 1854/154173 [1:11:32<96:08:46,  2.27s/it]





  1% 1859/154173 [1:11:43<95:44:58,  2.26s/it]





  1% 1864/154173 [1:11:54<95:38:44,  2.26s/it]





  1% 1869/154173 [1:12:05<95:39:09,  2.26s/it]





  1% 1874/154173 [1:12:17<95:40:09,  2.26s/it]





  1% 1879/154173 [1:12:28<96:02:00,  2.27s/it]





  1% 1884/154173 [1:12:39<95:43:10,  2.26s/it]






  1% 1890/154173 [1:12:53<95:36:32,  2.26s/it]




  1% 1894/154173 [1:13:02<95:40:12,  2.26s/it]





  1% 1899/154173 [1:13:13<95:42:00,  2.26s/it]






  1% 1905/154173 [1:13:27<95:52:54,  2.27s/it]




  1% 1909/154173 [1:13:36<95:44:34,  2.26s/it]





  1% 1914/154173 [1:13:47<95:41:14,  2.26s/it]






  1% 1920/154173 [1:14:01<95:42:36,  2.26s/it]




  1% 1924/154173 [1:14:10<95:36:36,  2.26s/it]





  1% 1929/154173 [1:14:21<96:00:39,  2.27s/it]






  1% 1935/154173 [1:14:35<95:43:25,  2.26s/it]




